ID,item_cnt_month
0,0.50812656
1,0.1283265
2,0.79652715
3,0.16793907
4,0.1283265
5,0.50965023
6,1.0129205
7,0.14774668
8,1.0243763
9,0.1283265
10,2.841309
11,0.23516142
12,0.11542313
13,0.38405147
14,1.6573948
15,2.6396832
16,0.1283265
17,0.12541845
18,1.354265
19,0.09041867
20,0.8071696
21,0.1283265
22,0.8643079
23,0.84282684
24,1.4564164
25,0.1283265
26,0.1283265
27,0.50546306
28,0.8028829
29,2.963474
30,0.43432903
31,0.1283265
32,0.44772935
33,0.5789869
34,0.12441245
35,0.12417556
36,0.12840694
37,0.5256959
38,0.23442405
39,0.12836741
40,0.60843813
41,1.0709664
42,3.1807604
43,3.3471775
44,0.38901767
45,0.1283265
46,0.8728218
47,0.18881087
48,0.23371845
49,1.0054693
50,1.3260745
51,0.23516142
52,0.6387896
53,0.1776916
54,4.9012804
55,2.5127063
56,2.533571
57,2.331726
58,4.536041
59,3.6821098
60,4.1650176
61,0.5091034
62,0.35141757
63,0.37764955
64,0.1283265
65,0.1283265
66,0.76231647
67,0.12604125
68,0.38901767
69,0.11946319
70,0.1283265
71,1.6796541
72,0.50380135
73,1.1555732
74,0.1283265
75,0.1283265
76,0.36621487
77,0.1283265
78,0.34143308
79,0.61158395
80,0.8985611
81,3.1043706
82,0.7577071
83,0.22243842
84,0.9492912
85,1.2197405
86,0.699721
87,0.116170794
88,3.3913624
89,1.446878
90,0.7822019
91,0.39015397
92,2.1479533
93,0.16793907
94,0.23804465
95,0.113588125
96,0.12604125
97,0.48517317
98,0.62775004
99,1.6384864
100,0.474733
101,0.6794426
102,0.23087175
103,0.39015394
104,0.123089164
105,0.1283265
106,0.1283265
107,0.6888983
108,0.122604296
109,0.1283265
110,0.2165787
111,0.1283265
112,0.1283265
113,0.1283265
114,0.29492468
115,0.2867831
116,0.1283265
117,0.11625868
118,8.789382
119,0.1409762
120,0.098696604
121,0.12431058
122,0.36774498
123,0.5781387
124,0.5496382
125,1.1731468
126,0.1283265
127,0.11193922
128,0.1283265
129,0.23971501
130,0.39015397
131,0.1283265
132,0.39015397
133,2.795997
134,0.11714262
135,0.39015394
136,0.23516142
137,0.1283265
138,0.92583203
139,0.1283265
140,0.2186161
141,0.46741706
142,0.13235486
143,0.23516142
144,0.1283265
145,0.1283265
146,0.1283265
147,0.15308493
148,0.1283265
149,0.1283265
150,0.13722724
151,0.1283265
152,5.680036
153,0.2782088
154,0.1283265
155,0.21260136
156,0.24893811
157,0.122552186
158,0.16964671
159,0.38361037
160,0.1283265
161,0.23516142
162,0.1283265
163,0.4667853
164,0.36237735
165,0.12823495
166,0.55583
167,0.12994039
168,0.1283265
169,0.12360442
170,0.23516142
171,0.5300522
172,0.37510702
173,1.0658122
174,1.2594883
175,2.0789645
176,1.2184936
177,0.1283265
178,0.46889082
179,0.12946637
180,0.9933827
181,0.38843697
182,0.1283265
183,0.15545982
184,0.22335562
185,0.1283265
186,0.13112323
187,0.20659335
188,0.1283265
189,0.1283265
190,0.1283265
191,0.6756433
192,0.60843813
193,0.15302834
194,0.122552186
195,0.15288983
196,0.39015397
197,2.9238853
198,1.2405894
199,0.1283265
200,0.1283265
201,0.1283265
202,0.18039599
203,1.3067017
204,0.15052946
205,0.1283265
206,0.1283265
207,0.12079796
208,1.3014357
209,0.5332568
210,0.24265747
211,0.1348254
212,0.12268415
213,0.39015397
214,0.13222048
215,0.69319147
216,0.44319618
217,0.20893614
218,2.106767
219,0.4225709
220,0.41781142
221,0.1283265
222,0.1283265
223,0.76515096
224,2.5249772
225,0.3988818
226,0.39174497
227,0.1283265
228,0.21243793
229,0.1283265
230,0.1283265
231,0.46280766
232,0.1283265
233,0.3684901
234,0.1283265
235,0.14981362
236,0.25160843
237,0.42686877
238,0.39015394
239,0.2481178
240,0.8225138
241,0.10078254
242,0.1283265
243,0.1283265
244,0.1283265
245,0.23948406
246,1.5945752
247,0.47498944
248,0.53457904
249,0.117350295
250,0.7116873
251,0.17115359
252,0.26298434
253,1.0949376
254,0.4006666
255,5.680036
256,0.1283265
257,0.17667186
258,0.5148026
259,0.22967732
260,0.10633902
261,0.12993395
262,0.21664387
263,0.1283265
264,0.10648543
265,0.4521111
266,0.1283265
267,0.23516142
268,0.12417556
269,0.13143265
270,1.0634918
271,0.12896852
272,0.16944459
273,0.6794426
274,10.590936
275,0.1283265
276,0.39015397
277,1.4030188
278,0.38850772
279,0.18611369
280,0.1872217
281,0.15748888
282,0.14221409
283,0.7242725
284,0.1872217
285,0.24714665
286,0.1283265
287,0.86613
288,0.2501361
289,0.39015397
290,0.1283265
291,0.13099977
292,0.29472846
293,0.15912795
294,0.79151917
295,1.0133162
296,0.16349907
297,0.15470093
298,0.1283265
299,0.1283265
300,0.12354556
301,0.5375546
302,0.85268855
303,0.72362494
304,0.122552186
305,0.12079796
306,0.21457237
307,0.1709075
308,0.28236648
309,0.1283265
310,0.1283265
311,0.39491367
312,0.8265972
313,0.18611369
