ID,item_cnt_month
0,0.70184267
1,0.13082051
2,1.0292146
3,0.22311209
4,0.13082051
5,0.48300228
6,0.86935353
7,0.16153638
8,1.3713645
9,0.13082051
10,2.650252
11,0.25098452
12,0.12469567
13,0.4296132
14,1.5084598
15,2.0823543
16,0.13082051
17,0.16600154
18,1.72143
19,0.12046046
20,0.648084
21,0.13082051
22,0.5342766
23,0.84256446
24,1.5497341
25,0.13082051
26,0.13082051
27,0.682284
28,0.6514081
29,2.4892228
30,0.5338634
31,0.13082051
32,0.52805066
33,0.6505376
34,0.12359938
35,0.12651522
36,0.17046756
37,0.61271477
38,0.27948833
39,0.15784031
40,0.5455607
41,0.9027088
42,2.805955
43,3.1157858
44,0.4833971
45,0.13082051
46,0.9342469
47,0.2349551
48,0.41664687
49,0.8831605
50,1.9725213
51,0.25098452
52,0.44956782
53,0.25796747
54,5.679259
55,2.2604523
56,2.935412
57,2.4578352
58,3.2959547
59,2.7819703
60,2.8606377
61,0.39272875
62,0.50113803
63,0.26707155
64,0.13082147
65,0.1308213
66,0.81663764
67,0.1270052
68,0.48339736
69,0.10291803
70,0.13082115
71,0.9280482
72,0.49505723
73,1.1217711
74,0.1308221
75,0.1308221
76,0.26101524
77,0.1308221
78,0.3782501
79,0.75662315
80,1.3150274
81,4.0268025
82,1.2105892
83,0.30809242
84,1.025077
85,1.1068393
86,0.5751763
87,0.12519205
88,2.8646636
89,1.1695914
90,0.8429166
91,0.27777973
92,3.0792336
93,0.22311209
94,0.28274447
95,0.12522607
96,0.1270049
97,0.5435867
98,0.76025105
99,1.6025816
100,0.882844
101,0.43530005
102,0.30406877
103,0.27777976
104,0.13075185
105,0.13082051
106,0.13082051
107,0.46189025
108,0.16518499
109,0.13082051
110,0.31373924
111,0.13082051
112,0.13082051
113,0.13082051
114,0.33589005
115,0.33891472
116,0.13082051
117,0.18494792
118,6.8117833
119,0.18986614
120,0.12099506
121,0.12446906
122,0.2508253
123,0.5122831
124,0.79819405
125,1.1683217
126,0.13082051
127,0.12606049
128,0.13082051
129,0.25122514
130,0.27777973
131,0.13082051
132,0.27777973
133,1.3953533
134,0.12224762
135,0.27777976
136,0.25098452
137,0.13082051
138,1.0420841
139,0.13082051
140,0.33677062
